episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
93,22336.913544189945,31313.913544189945,23321.913544189945
94,23850.913544189945,26514.913544189945,29266.913544189945
95,24804.913544189945,28771.913544189945,23817.913544189945
96,22357.913544189945,27636.913544189945,21011.913544189945
97,23849.913544189945,31605.913544189945,22044.913544189945
98,29000.913544189945,29507.913544189945,19545.913544189945
99,26804.913544189945,34032.91354418994,18802.913544189945
100,18960.913544189945,32875.91354418994,18660.913544189945
101,24604.913544189945,26722.913544189945,17582.913544189945
102,29163.913544189945,28967.913544189945,19490.913544189945
103,24854.913544189945,25631.913544189945,21205.913544189945
104,22298.913544189945,33436.91354418994,21493.913544189945
105,23409.913544189945,25054.913544189945,22581.913544189945
106,18781.913544189945,36187.91354418994,21385.913544189945
107,26409.913544189945,32733.913544189945,18385.913544189945
108,22996.913544189945,30251.913544189945,21518.913544189945
109,28398.913544189945,29816.913544189945,19965.913544189945
110,25275.913544189945,31487.913544189945,25044.913544189945
111,24323.913544189945,30718.913544189945,21515.913544189945
112,20712.913544189945,30507.913544189945,25654.913544189945
113,25007.913544189945,27967.913544189945,17185.913544189945
114,27586.913544189945,26138.913544189945,24494.913544189945
115,24296.913544189945,26298.913544189945,25092.913544189945
116,22965.913544189945,20814.913544189945,22773.913544189945
117,22901.913544189945,26756.913544189945,16977.913544189945
118,22924.913544189945,26009.913544189945,19060.913544189945
119,24280.913544189945,34136.91354418994,22498.913544189945
120,23732.913544189945,31478.913544189945,23556.913544189945
121,24127.913544189945,29337.913544189945,17698.913544189945
122,22465.913544189945,28950.913544189945,20254.913544189945
123,26573.913544189945,27005.913544189945,25108.913544189945
124,17523.913544189945,25792.913544189945,23660.913544189945
125,22451.913544189945,29993.913544189945,22464.913544189945
126,29953.913544189945,26624.913544189945,29356.913544189945
127,26247.913544189945,28601.913544189945,18697.913544189945
128,21695.913544189945,31625.913544189945,26039.913544189945
129,20780.913544189945,22286.913544189945,24995.913544189945
130,23639.913544189945,25802.913544189945,20786.913544189945
131,24677.913544189945,21723.913544189945,20852.913544189945
132,26673.913544189945,23086.913544189945,19600.913544189945
133,21757.913544189945,21131.913544189945,21739.913544189945
134,22645.913544189945,30142.913544189945,24103.913544189945
135,25132.913544189945,32865.91354418994,25000.913544189945
136,23609.913544189945,29043.913544189945,23003.913544189945
137,23100.913544189945,30471.913544189945,23998.913544189945
138,26390.913544189945,31169.913544189945,20032.913544189945
139,23672.913544189945,19841.913544189945,24500.913544189945
140,21610.913544189945,28549.913544189945,19620.913544189945
141,28410.913544189945,26939.913544189945,21790.913544189945
142,22606.913544189945,26606.913544189945,24024.913544189945
143,25407.913544189945,29874.913544189945,26196.913544189945
144,21487.913544189945,29701.913544189945,22352.913544189945
145,22798.913544189945,31857.913544189945,16455.913544189945
146,23514.913544189945,32603.913544189945,21004.913544189945
147,22807.913544189945,30270.913544189945,22139.913544189945
148,30255.913544189945,33936.91354418994,21617.913544189945
149,23332.913544189945,25664.913544189945,22269.913544189945
150,22845.913544189945,26202.913544189945,24956.913544189945
151,25205.913544189945,27758.913544189945,25762.913544189945
152,27736.913544189945,26329.913544189945,22779.913544189945
153,24695.913544189945,26906.913544189945,20398.913544189945
154,24059.913544189945,20270.913544189945,23186.913544189945
155,21059.913544189945,32961.91354418994,19368.913544189945
156,22877.913544189945,27180.913544189945,20847.913544189945
157,26620.913544189945,19731.913544189945,22104.913544189945
158,20771.913544189945,24929.913544189945,26997.913544189945
159,21029.913544189945,27733.913544189945,17030.913544189945
160,20206.913544189945,26184.913544189945,23322.913544189945
161,27703.913544189945,30728.913544189945,22317.913544189945
162,25141.913544189945,32000.913544189945,22818.913544189945
163,28471.913544189945,28306.913544189945,25677.913544189945
164,29467.913544189945,29203.913544189945,16648.913544189945
165,22053.913544189945,21455.913544189945,21648.913544189945
166,24399.913544189945,31735.913544189945,22773.913544189945
167,27265.913544189945,32307.913544189945,18552.913544189945
168,19510.913544189945,32912.91354418994,22257.913544189945
169,24806.913544189945,24318.913544189945,19008.913544189945
170,27406.913544189945,26176.913544189945,29889.913544189945
171,22452.913544189945,29277.913544189945,20910.913544189945
172,21165.913544189945,29120.913544189945,16576.913544189945
173,27371.913544189945,26650.913544189945,18910.913544189945
174,23830.913544189945,29921.913544189945,20412.913544189945
175,18321.913544189945,27787.913544189945,24474.913544189945
176,22348.913544189945,19783.913544189945,16572.913544189945
177,21279.913544189945,24187.913544189945,22792.913544189945
178,24465.913544189945,25843.913544189945,22972.913544189945
179,21012.913544189945,24488.913544189945,21156.913544189945
180,19698.913544189945,34568.91354418994,16777.913544189945
181,24146.913544189945,33029.91354418994,24793.913544189945
182,25046.913544189945,26824.913544189945,26299.913544189945
183,25271.913544189945,27223.913544189945,25442.913544189945
